sr_in,sr_out,eff_sr
0.05,0.0457,0.05
0.1,0.0952,0.106
0.15,0.1454,0.1645
0.2,0.1951,0.2265
0.25,0.245,0.297
0.3,0.2953,0.4195
0.35,0.3451,0.54
0.4,0.3958,0.667
0.45,0.4452,0.8005
0.5,0.4951,0.9375
0.55,0.5452,1.0915
0.6,0.5954,1.2565
0.65,0.645,1.432
0.7,0.6952,1.6035
0.75,0.745,1.7955
0.8,0.7954,2.0285
0.85,0.8454,2.291
0.9,0.8956,5.0075
0.95,0.9451,5.615
