in,out
0.01,0.009307861328125
0.02,0.0183868408203125
0.03,0.027587890625
0.04,0.0364532470703125
0.05,0.045684814453125
0.060000000000000005,0.054473876953125
0.06999999999999999,0.063629150390625
0.08,0.072235107421875
0.09,0.0810699462890625
0.09999999999999999,0.0901641845703125
0.11,0.0986175537109375
0.12,0.10711669921875
0.13,0.1160888671875
0.14,0.1244049072265625
0.15000000000000002,0.1326141357421875
0.16,0.1420440673828125
0.17,0.14990234375
0.18000000000000002,0.1580810546875
0.19,0.167205810546875
0.2,0.1744384765625
0.21000000000000002,0.18194580078125
0.22,0.190185546875
0.23,0.1971588134765625
0.24000000000000002,0.204864501953125
0.25,0.21197509765625
0.26,0.2195587158203125
0.27,0.22711181640625
0.28,0.234344482421875
0.29000000000000004,0.2415618896484375
0.3,0.2465057373046875
0.31,0.252105712890625
0.32,0.2579345703125
0.33,0.262176513671875
0.34,0.2685546875
0.35000000000000003,0.272125244140625
0.36000000000000004,0.27471923828125
0.37,0.2790985107421875
0.38,0.2821197509765625
0.39,0.284027099609375
0.4,0.287628173828125
0.41000000000000003,0.291595458984375
0.42000000000000004,0.29510498046875
0.43,0.2985992431640625
0.44,0.303985595703125
0.45,0.309356689453125
0.46,0.3147430419921875
0.47000000000000003,0.3194732666015625
0.48000000000000004,0.324432373046875
0.49,0.328369140625
0.5,0.331634521484375
0.51,0.3358154296875
0.52,0.337799072265625
0.53,0.340728759765625
0.54,0.3451080322265625
0.55,0.34674072265625
0.56,0.35076904296875
0.5700000000000001,0.355743408203125
0.5800000000000001,0.3589019775390625
0.59,0.364013671875
0.6,0.36895751953125
0.61,0.3745880126953125
0.62,0.3795928955078125
0.63,0.382965087890625
0.64,0.38604736328125
0.65,0.39044189453125
0.66,0.392974853515625
0.67,0.3950653076171875
0.68,0.3992156982421875
0.6900000000000001,0.401763916015625
0.7000000000000001,0.404083251953125
0.7100000000000001,0.4089813232421875
0.72,0.412322998046875
0.73,0.4171600341796875
0.74,0.4218597412109375
0.75,0.425140380859375
0.76,0.4312286376953125
0.77,0.435028076171875
0.78,0.4371795654296875
0.79,0.4421234130859375
0.8,0.4444732666015625
0.81,0.4460296630859375
0.8200000000000001,0.4502105712890625
0.8300000000000001,0.4525146484375
0.8400000000000001,0.455078125
0.85,0.459014892578125
0.86,0.4618988037109375
0.87,0.46685791015625
0.88,0.4717864990234375
0.89,0.475189208984375
0.9,0.4810638427734375
0.91,0.4853973388671875
0.92,0.4879302978515625
0.93,0.492462158203125
0.9400000000000001,0.494476318359375
0.9500000000000001,0.4967193603515625
0.9600000000000001,0.500213623046875
0.97,0.502777099609375
0.98,0.5043792724609375
0.99,0.508514404296875
1.0,0.5103302001953125
1.01,0.5146026611328125
1.02,0.5195770263671875
1.03,0.522796630859375
1.04,0.5281829833984375
1.05,0.5323028564453125
1.06,0.5341033935546875
1.07,0.539703369140625
1.08,0.5420074462890625
1.09,0.5434112548828125
1.1,0.547576904296875
1.11,0.549560546875
1.12,0.5506439208984375
1.1300000000000001,0.5544281005859375
1.1400000000000001,0.5553436279296875
1.1500000000000001,0.5597991943359375
1.1600000000000001,0.5648956298828125
1.17,0.5669097900390625
1.18,0.573211669921875
1.19,0.5777435302734375
1.2,0.579254150390625
1.21,0.5837860107421875
1.22,0.587005615234375
1.23,0.5879669189453125
1.24,0.5915069580078125
1.25,0.5918731689453125
1.26,0.5943756103515625
1.27,0.5982208251953125
1.28,0.59906005859375
1.29,0.602783203125
1.3,0.607421875
1.31,0.609649658203125
1.32,0.6152191162109375
1.33,0.6187286376953125
1.34,0.621063232421875
1.35,0.6258392333984375
1.36,0.6290435791015625
1.37,0.629241943359375
1.3800000000000001,0.6328125
1.3900000000000001,0.6342620849609375
1.4000000000000001,0.636077880859375
1.4100000000000001,0.639251708984375
1.42,0.6414337158203125
1.43,0.64404296875
1.44,0.6472625732421875
1.45,0.649749755859375
1.46,0.6551971435546875
1.47,0.659271240234375
1.48,0.6617279052734375
1.49,0.6656494140625
1.5,0.66748046875
1.51,0.6693878173828125
1.52,0.6731414794921875
1.53,0.6743011474609375
1.54,0.675537109375
1.55,0.6793365478515625
1.56,0.680267333984375
1.57,0.68304443359375
1.58,0.6870269775390625
1.59,0.6890106201171875
1.6,0.693359375
1.61,0.697357177734375
1.62,0.6999359130859375
1.6300000000000001,0.7040252685546875
1.6400000000000001,0.704833984375
1.6500000000000001,0.7071685791015625
1.6600000000000001,0.710968017578125
1.6700000000000002,0.7116851806640625
1.68,0.7128448486328125
1.69,0.7165374755859375
1.7,0.71734619140625
1.71,0.7193145751953125
1.72,0.72344970703125
1.73,0.725341796875
1.74,0.7292022705078125
1.75,0.7311553955078125
1.76,0.735382080078125
1.77,0.739349365234375
1.78,0.740509033203125
1.79,0.7428741455078125
1.8,0.746002197265625
1.81,0.7462005615234375
